team,side,games,plays,penalties,penalties_pg,penalty_yds,penalty_yds_pg,pen_per_100_plays,pen_per_100_plays_w,presnap_pen_rate,presnap_pen_rate_w,rz_pen_rate,rz_pen_rate_w,third_fourth_pen,third_fourth_pen_pg,auto_fd_allowed,def_auto_fd_allowed_pg,dpi_yds,def_dpi_yds_pg
MIN,def,17,1434,127.0,7.470588235294118,1691.0,99.47058823529412,8.742172351661154,8.856345885634589,0.04138241460833136,0.04184100418410042,0.012980924332281084,0.01394700139470014,42.0,2.4705882352941178,24.0,1.411764705882353,137.0,8.058823529411764
MIN,off,17,1402,123.0,7.235294117647059,1630.0,95.88235294117646,8.61719850488029,8.773181169757489,0.03764402870514328,0.03851640513552068,0.010016213994810518,0.010699001426533523,43.0,2.5294117647058822,42.0,2.4705882352941178,328.0,19.294117647058822
NE,def,17,1375,91.0,5.352941176470588,1314.0,77.29411764705883,6.528850437221089,6.618181818181818,0.024306958434456575,0.024,0.009153110557929242,0.009454545454545455,33.0,1.9411764705882353,32.0,1.8823529411764706,154.0,9.058823529411764
NE,off,17,1380,120.0,7.0588235294117645,1308.0,76.94117647058823,8.574192085038248,8.695652173913043,0.03423492061596998,0.035507246376811595,0.015583801408340477,0.016666666666666666,42.0,2.4705882352941178,33.0,1.9411764705882353,138.0,8.117647058823529
NO,def,17,1464,118.0,6.9411764705882355,1551.0,91.23529411764706,8.02233265932858,8.060109289617486,0.02889651589188373,0.029371584699453553,0.012628783116539657,0.012978142076502733,39.0,2.2941176470588234,27.0,1.588235294117647,172.0,10.117647058823529
NO,off,17,1369,107.0,6.294117647058823,1361.0,80.05882352941177,7.781148016277712,7.815924032140249,0.029310115746898208,0.029218407596785977,0.009556493038176924,0.009495982468955442,39.0,2.2941176470588234,26.0,1.5294117647058822,83.0,4.882352941176471
NYG,def,17,1371,95.0,5.588235294117647,1478.0,86.94117647058823,6.937519356939156,6.9292487235594455,0.02875136675559165,0.029175784099197667,0.01066108906743698,0.010940919037199124,39.0,2.2941176470588234,25.0,1.4705882352941178,231.0,13.588235294117647
NYG,off,17,1413,123.0,7.235294117647059,1691.0,99.47058823529412,8.635126072624386,8.704883227176222,0.04221688223693253,0.04246284501061571,0.010672658493902957,0.010615711252653927,49.0,2.8823529411764706,27.0,1.588235294117647,190.0,11.176470588235293
NYJ,def,17,1415,130.0,7.647058823529412,1839.0,108.17647058823529,9.08819352572753,9.187279151943462,0.02834408661712825,0.028975265017667843,0.01671525877143865,0.01696113074204947,37.0,2.176470588235294,47.0,2.764705882352941,279.0,16.41176470588235
NYJ,off,17,1339,111.0,6.529411764705882,1466.0,86.23529411764706,8.104689443236753,8.289768483943242,0.0294287357920121,0.030619865571321882,0.013152295958483193,0.01344286781179985,48.0,2.823529411764706,30.0,1.7647058823529411,185.0,10.882352941176471
PHI,def,17,1312,91.0,5.352941176470588,1317.0,77.47058823529412,6.861256529546446,6.935975609756097,0.023722782460433217,0.024390243902439025,0.014905167846523544,0.01524390243902439,37.0,2.176470588235294,25.0,1.4705882352941178,123.0,7.235294117647059
