week,team,st_plays,st_epa,st_epa_per_play,ko_plays,ko_tb_rate,ko_opp_start_yd100,punt_plays,punt_opp_start_yd100,ret_plays,ret_epa,ret_epa_against,fg_att,fg_made,fg_pct,fg_epa_per_att,xp_att,xp_made,xp_pct,xp_epa_per_att,st_pen_rate
12,LV,17,5.451157925349612,0.3206563485499772,8,0.875,73.625,4,65.25,0,0.0,0.0,4,0,0.0,1.362789481337403,1,0,0.0,5.451157925349612,0.0
12,MIA,14,1.593099203224574,0.11379280023032672,3,1.0,70.0,5,62.6,0,0.0,0.0,2,0,0.0,0.796549601612287,4,0,0.0,0.3982748008061435,0.0
12,MIN,14,6.648273720085682,0.47487669429183443,4,0.25,67.75,4,65.5,0,0.0,0.0,3,0,0.0,2.2160912400285606,3,0,0.0,2.2160912400285606,0.07142857142857142
12,NE,14,-2.0738004573892614,-0.14812860409923295,7,1.0,70.0,5,68.6,0,0.0,0.0,1,0,0.0,-2.0738004573892614,1,0,0.0,-2.0738004573892614,0.0
12,NYG,11,1.0424143108399098,0.0947649373490827,6,0.8333333333333334,69.66666666666667,4,65.5,0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,1.0424143108399098,0.0
12,PHI,12,0.29065714732420034,0.02422142894368336,4,0.75,66.25,1,64.0,0,0.0,0.0,3,0,0.0,0.09688571577473344,4,0,0.0,0.07266428683105008,0.0
12,PIT,10,-2.5763187637864835,-0.2576318763786484,5,0.4,70.4,1,70.0,0,0.0,0.0,3,0,0.0,-0.8587729212621612,1,0,0.0,-2.5763187637864835,0.0
12,SEA,11,2.1856282982461104,0.19869348165873732,3,0.6666666666666666,73.66666666666667,5,61.2,0,0.0,0.0,1,0,0.0,2.1856282982461104,2,0,0.0,1.0928141491230552,0.09090909090909091
12,SF,12,3.0560937615138197,0.2546744801261516,7,0.42857142857142855,73.0,3,70.66666666666667,0,0.0,0.0,1,0,0.0,3.0560937615138197,1,0,0.0,3.0560937615138197,0.08333333333333333
12,TB,9,-2.874014323796542,-0.31933492486628245,2,0.5,84.0,2,55.0,0,0.0,0.0,1,0,0.0,-2.874014323796542,4,0,0.0,-0.7185035809491355,0.0
12,TEN,18,8.293515248885605,0.4607508471603114,7,0.42857142857142855,69.71428571428571,5,75.0,0,0.0,0.0,3,0,0.0,2.7645050829618683,3,0,0.0,2.7645050829618683,0.1111111111111111
12,WAS,18,-0.8702470290206676,-0.04834705716781487,7,0.42857142857142855,69.14285714285714,6,58.833333333333336,0,0.0,0.0,3,0,0.0,-0.29008234300688923,2,0,0.0,-0.4351235145103338,0.05555555555555555
13,ARI,14,-2.1929725370403794,-0.15664089550288424,6,0.8333333333333334,70.83333333333333,1,56.0,0,0.0,0.0,6,0,0.0,-0.36549542284006326,1,0,0.0,-2.1929725370403794,0.0
13,ATL,11,-2.3013796095643686,-0.20921632814221533,5,1.0,70.0,2,57.0,0,0.0,0.0,3,0,0.0,-0.7671265365214562,1,0,0.0,-2.3013796095643686,0.0
13,BAL,15,-5.032972557496899,-0.33553150383312663,5,0.6,68.8,4,73.5,0,0.0,0.0,4,0,0.0,-1.2582431393742248,2,0,0.0,-2.5164862787484497,0.0
13,BUF,12,-4.656948246426355,-0.38807902053552956,3,0.3333333333333333,73.66666666666667,3,60.333333333333336,0,0.0,0.0,1,0,0.0,-4.656948246426355,5,0,0.0,-0.9313896492852709,0.0
13,CAR,17,-5.541232821929976,-0.32595487187823385,5,0.8,71.6,5,66.8,0,0.0,0.0,5,0,0.0,-1.1082465643859951,2,0,0.0,-2.770616410964988,0.058823529411764705
13,CHI,12,0.8296320654957081,0.06913600545797567,6,0.8333333333333334,70.66666666666667,4,74.5,0,0.0,0.0,0,0,0.0,0.0,2,0,0.0,0.41481603274785406,0.0
13,CIN,16,4.236024012331571,0.2647515007707232,8,0.375,76.625,2,60.5,0,0.0,0.0,1,0,0.0,4.236024012331571,5,0,0.0,0.8472048024663141,0.0
13,CLE,19,1.1377918524561248,0.05988378170821709,8,0.875,70.625,6,66.16666666666667,0,0.0,0.0,2,0,0.0,0.5688959262280624,3,0,0.0,0.3792639508187083,0.0
13,DAL,15,-2.269319154155488,-0.15128794361036585,5,1.0,70.0,5,60.6,0,0.0,0.0,2,0,0.0,-1.134659577077744,3,0,0.0,-0.7564397180518293,0.0
13,DEN,18,3.9448235321421183,0.21915686289678435,6,1.0,70.0,5,66.8,0,0.0,0.0,2,0,0.0,1.9724117660710592,5,0,0.0,0.7889647064284236,0.0
13,DET,12,-0.40908655628804924,-0.03409054635733744,4,0.75,72.0,2,58.0,0,0.0,0.0,4,0,0.0,-0.10227163907201231,2,0,0.0,-0.20454327814402462,0.0
13,GB,14,9.41015087349681,0.6721536338212007,4,0.25,61.25,4,51.25,0,0.0,0.0,3,0,0.0,3.1367169578322702,3,0,0.0,3.1367169578322702,0.07142857142857142
13,HOU,14,4.275402907449514,0.3053859219606796,5,1.0,70.0,4,62.5,0,0.0,0.0,3,0,0.0,1.4251343024831715,2,0,0.0,2.137701453724757,0.0
13,IND,11,1.0593968541957177,0.09630880492688343,6,0.5,70.66666666666667,2,78.5,0,0.0,0.0,1,0,0.0,1.0593968541957177,2,0,0.0,0.5296984270978589,0.0
13,JAX,13,-3.9898275571055173,-0.3069098120850398,6,0.3333333333333333,72.33333333333333,4,65.25,0,0.0,0.0,3,0,0.0,-1.3299425190351724,0,0,0.0,0.0,0.07692307692307693
13,KC,15,-0.8025159122467376,-0.05350106081644917,4,0.5,72.25,5,60.4,0,0.0,0.0,5,0,0.0,-0.16050318244934753,1,0,0.0,-0.8025159122467376,0.0
13,LA,10,-0.892008612945095,-0.0892008612945095,4,0.25,64.75,3,55.666666666666664,0,0.0,0.0,0,0,0.0,0.0,3,0,0.0,-0.29733620431503166,0.2
13,LAC,10,3.971964875573747,0.3971964875573747,4,1.0,70.0,3,63.0,0,0.0,0.0,3,0,0.0,1.3239882918579158,0,0,0.0,0.0,0.1
13,LV,15,-5.713751110507456,-0.3809167407004971,6,0.16666666666666666,73.33333333333333,3,65.33333333333333,0,0.0,0.0,4,0,0.0,-1.428437777626864,2,0,0.0,-2.856875555253728,0.13333333333333333
13,MIA,10,2.9800382724982537,0.2980038272498254,6,0.3333333333333333,70.66666666666667,3,76.66666666666667,0,0.0,0.0,1,0,0.0,2.9800382724982537,0,0,0.0,0.0,0.0
13,MIN,14,2.260293511290513,0.16144953652075092,6,1.0,70.0,2,71.5,0,0.0,0.0,4,0,0.0,0.5650733778226282,2,0,0.0,1.1301467556452565,0.0
13,NE,12,-0.4681137348369855,-0.039009477903082124,5,0.4,71.0,1,55.0,0,0.0,0.0,5,0,0.0,-0.0936227469673971,1,0,0.0,-0.4681137348369855,0.0
13,NO,10,-0.9453645797887607,-0.09453645797887607,4,1.0,70.0,3,59.333333333333336,0,0.0,0.0,3,0,0.0,-0.31512152659625353,0,0,0.0,0.0,0.0
13,NYG,15,4.162794099902236,0.277519606660149,6,0.8333333333333334,69.0,5,69.6,0,0.0,0.0,2,0,0.0,2.081397049951118,2,0,0.0,2.081397049951118,0.0
13,NYJ,12,6.084729422088614,0.5070607851740512,6,0.16666666666666666,74.4,4,59.75,0,0.0,0.0,0,0,0.0,0.0,2,0,0.0,3.042364711044307,0.0
13,PHI,15,2.706862187562132,0.18045747917080882,5,0.6,68.2,6,64.5,0,0.0,0.0,1,0,0.0,2.706862187562132,3,0,0.0,0.902287395854044,0.06666666666666667
13,PIT,17,-1.263748409862381,-0.07433814175661065,7,0.5714285714285714,72.42857142857143,1,49.0,0,0.0,0.0,4,0,0.0,-0.31593710246559525,5,0,0.0,-0.2527496819724762,0.0
13,SEA,12,-8.821661759080072,-0.7351384799233394,4,0.25,77.75,3,63.333333333333336,0,0.0,0.0,2,0,0.0,-4.410830879540036,3,0,0.0,-2.9405539196933574,0.0
13,SF,13,-6.566542543303417,-0.5051186571771858,6,0.0,79.33333333333333,3,66.66666666666667,0,0.0,0.0,3,0,0.0,-2.1888475144344723,1,0,0.0,-6.566542543303417,0.07692307692307693
13,TB,19,1.33421324654769,0.07022174981829947,7,0.2857142857142857,73.85714285714286,5,71.6,0,0.0,0.0,5,0,0.0,0.266842649309538,2,0,0.0,0.667106623273845,0.10526315789473684
13,TEN,14,-2.8892580971815813,-0.20637557837011294,7,0.14285714285714285,70.71428571428571,4,72.25,0,0.0,0.0,2,0,0.0,-1.4446290485907907,1,0,0.0,-2.8892580971815813,0.21428571428571427
13,WAS,14,-5.711147329217106,-0.40793909494407904,5,0.2,73.8,1,81.0,0,0.0,0.0,2,0,0.0,-2.855573664608553,6,0,0.0,-0.9518578882028511,0.07142857142857142
14,ARI,14,-2.4450279751044874,-0.17464485536460625,7,1.0,70.0,4,74.75,0,0.0,0.0,2,0,0.0,-1.2225139875522437,1,0,0.0,-2.4450279751044874,0.0
14,ATL,11,-4.200003220276306,-0.3818184745705733,7,0.8571428571428571,69.85714285714286,1,53.0,0,0.0,0.0,2,0,0.0,-2.100001610138153,1,0,0.0,-4.200003220276306,0.0
14,BUF,17,-5.8415285205032035,-0.34361932473548257,8,0.75,72.0,3,60.666666666666664,0,0.0,0.0,0,0,0.0,0.0,6,0,0.0,-0.9735880867505339,0.0
14,CAR,9,0.7793404036338942,0.0865933781815438,4,0.25,73.0,2,61.5,0,0.0,0.0,1,0,0.0,0.7793404036338942,2,0,0.0,0.3896702018169471,0.0
14,CHI,14,3.5829743121726882,0.25592673658376347,7,0.5714285714285714,72.85714285714286,6,74.16666666666667,0,0.0,0.0,0,0,0.0,0.0,1,0,0.0,3.5829743121726882,0.2857142857142857
14,CIN,13,4.184080296706753,0.3218523305159041,5,0.6,68.4,3,66.0,0,0.0,0.0,2,0,0.0,2.0920401483533766,3,0,0.0,1.3946934322355844,0.0
14,CLE,15,-3.294219259033008,-0.2196146172688672,6,0.8333333333333334,68.5,5,60.6,0,0.0,0.0,2,0,0.0,-1.647109629516504,2,0,0.0,-1.647109629516504,0.0
