season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side,start_own_yardline_avg,hidden_yards_per_drive
2024,2,JAX,17,1,3,5,0,297.0,88,3,53.0,16,,4,0.24,0.058823529411764705,0.17647058823529413,0.0,0.29411764705882354,17.47,5.18,0.17647058823529413,0.9411764705882353,0.94,def,47.0,-10.58
2024,2,JAX,12,1,2,3,1,323.0,75,6,63.58,13,,3,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.25,26.92,6.25,0.5,1.0833333333333333,1.08,off,36.42,-10.58
2024,2,KC,15,3,4,2,1,320.0,81,6,56.87,33,,7,0.47,0.2,0.26666666666666666,0.06666666666666667,0.13333333333333333,21.33,5.4,0.4,2.2,2.2,def,43.13,-2.44
2024,2,KC,14,2,2,2,3,286.0,79,4,59.31,20,,4,0.29,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.14285714285714285,20.43,5.64,0.2857142857142857,1.4285714285714286,1.43,off,40.69,-2.44
2024,2,LA,9,5,2,1,1,489.0,80,6,71.78,41,,7,0.78,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.1111111111111111,54.33,8.89,0.6666666666666666,4.555555555555555,4.56,def,28.22,14.36
2024,2,LA,12,1,1,4,1,245.0,67,5,57.42,10,,2,0.17,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,20.42,5.58,0.4166666666666667,0.8333333333333334,0.83,off,42.58,14.36
2024,2,LAC,12,0,1,7,1,159.0,65,1,71.33,3,,1,0.08,0.0,0.08333333333333333,0.08333333333333333,0.5833333333333334,13.25,5.42,0.08333333333333333,0.25,0.25,def,28.67,9.83
2024,2,LAC,16,3,2,3,3,349.0,81,4,61.5,27,,5,0.31,0.1875,0.125,0.1875,0.1875,21.81,5.06,0.25,1.6875,1.69,off,38.5,9.83
2024,2,LV,16,2,3,4,1,358.0,89,3,65.73,23,,5,0.31,0.125,0.1875,0.0625,0.25,22.38,5.56,0.1875,1.4375,1.44,def,34.27,10.88
2024,2,LV,14,2,4,3,1,260.0,79,4,54.86,26,,6,0.43,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.21428571428571427,18.57,5.64,0.2857142857142857,1.8571428571428572,1.86,off,45.14,10.88
2024,2,MIA,15,3,1,3,0,247.0,61,5,52.07,24,,4,0.27,0.2,0.06666666666666667,0.0,0.2,16.47,4.07,0.3333333333333333,1.6,1.6,def,47.93,-5.27
2024,2,MIA,15,2,1,1,3,351.0,89,5,57.33,17,,3,0.2,0.13333333333333333,0.06666666666666667,0.2,0.06666666666666667,23.4,5.93,0.3333333333333333,1.1333333333333333,1.13,off,42.67,-5.27
2024,2,MIN,13,2,1,3,2,396.0,85,5,66.85,17,,3,0.23,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.23076923076923078,30.46,6.54,0.38461538461538464,1.3076923076923077,1.31,def,33.15,13.66
2024,2,MIN,16,2,3,3,2,403.0,69,6,53.19,23,,5,0.31,0.125,0.1875,0.125,0.1875,25.19,4.31,0.375,1.4375,1.44,off,46.81,13.66
2024,2,NE,19,2,3,5,0,358.0,87,5,61.16,23,,5,0.26,0.10526315789473684,0.15789473684210525,0.0,0.2631578947368421,18.84,4.58,0.2631578947368421,1.2105263157894737,1.21,def,38.84,-0.23
2024,2,NE,14,2,2,6,0,310.0,87,6,61.38,20,,4,0.29,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,22.14,6.21,0.42857142857142855,1.4285714285714286,1.43,off,38.62,-0.23
2024,2,NO,12,1,4,1,2,353.0,87,4,67.67,19,,5,0.42,0.08333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,29.42,7.25,0.3333333333333333,1.5833333333333333,1.58,def,32.33,17.21
2024,2,NO,13,6,1,1,1,432.0,73,9,50.46,45,,7,0.54,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.07692307692307693,33.23,5.62,0.6923076923076923,3.4615384615384617,3.46,off,49.54,17.21
2024,2,NYG,14,0,7,0,0,425.0,90,9,50.15,21,,7,0.5,0.0,0.5,0.0,0.0,30.36,6.43,0.6428571428571429,1.5,1.5,def,49.85,-9.85
2024,2,NYG,8,3,0,2,1,304.0,68,4,60.0,21,,3,0.38,0.375,0.0,0.125,0.25,38.0,8.5,0.5,2.625,2.62,off,40.0,-9.85
2024,2,NYJ,15,2,1,5,2,300.0,80,6,58.8,17,,3,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.3333333333333333,20.0,5.33,0.4,1.1333333333333333,1.13,def,41.2,-1.27
2024,2,NYJ,14,3,1,6,0,265.0,75,4,60.07,24,,4,0.29,0.21428571428571427,0.07142857142857142,0.0,0.42857142857142855,18.93,5.36,0.2857142857142857,1.7142857142857142,1.71,off,39.93,-1.27
2024,2,PHI,14,2,3,2,0,385.0,74,7,55.54,23,,5,0.36,0.14285714285714285,0.21428571428571427,0.0,0.14285714285714285,27.5,5.29,0.5,1.6428571428571428,1.64,def,44.46,3.21
2024,2,PHI,12,2,2,2,1,367.0,86,8,52.33,20,,4,0.33,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,30.58,7.17,0.6666666666666666,1.6666666666666667,1.67,off,47.67,3.21
2024,2,PIT,13,0,2,6,2,295.0,77,3,74.15,6,,2,0.15,0.0,0.15384615384615385,0.15384615384615385,0.46153846153846156,22.69,5.92,0.23076923076923078,0.46153846153846156,0.46,def,25.85,10.9
2024,2,PIT,16,1,2,8,0,251.0,82,5,63.25,13,,3,0.19,0.0625,0.125,0.0,0.5,15.69,5.12,0.3125,0.8125,0.81,off,36.75,10.9
2024,2,SEA,14,2,2,6,0,310.0,87,6,61.38,20,,4,0.29,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,22.14,6.21,0.42857142857142855,1.4285714285714286,1.43,def,38.62,0.23
2024,2,SEA,19,2,3,5,0,358.0,87,5,61.16,23,,5,0.26,0.10526315789473684,0.15789473684210525,0.0,0.2631578947368421,18.84,4.58,0.2631578947368421,1.2105263157894737,1.21,off,38.84,0.23
2024,2,SF,16,2,3,3,2,403.0,69,6,53.19,23,,5,0.31,0.125,0.1875,0.125,0.1875,25.19,4.31,0.375,1.4375,1.44,def,46.81,-13.66
2024,2,SF,13,2,1,3,2,396.0,85,5,66.85,17,,3,0.23,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.23076923076923078,30.46,6.54,0.38461538461538464,1.3076923076923077,1.31,off,33.15,-13.66
2024,2,TB,17,1,3,2,2,463.0,100,9,52.24,16,,4,0.24,0.058823529411764705,0.17647058823529413,0.11764705882352941,0.11764705882352941,27.24,5.88,0.5294117647058824,0.9411764705882353,0.94,def,47.76,-19.98
2024,2,TB,14,2,2,5,1,216.0,64,3,72.21,20,,4,0.29,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.35714285714285715,15.43,4.57,0.21428571428571427,1.4285714285714286,1.43,off,27.79,-19.98
2024,2,TEN,14,3,1,6,0,265.0,75,4,60.07,24,,4,0.29,0.21428571428571427,0.07142857142857142,0.0,0.42857142857142855,18.93,5.36,0.2857142857142857,1.7142857142857142,1.71,def,39.93,1.27
2024,2,TEN,15,2,1,5,2,300.0,80,6,58.8,17,,3,0.2,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.3333333333333333,20.0,5.33,0.4,1.1333333333333333,1.13,off,41.2,1.27
