season,week,team,side,plays,successes,sr,epa_per_play
2024,7,IND,def,31,17,0.548387,-0.3262627382646315
2024,7,IND,off,27,13,0.481481,0.023986947118494615
2024,7,JAX,def,23,7,0.304348,-0.20297392661956584
2024,7,JAX,off,28,15,0.535714,0.057753588272524733
2024,7,KC,def,25,16,0.64,0.021564068195875735
2024,7,KC,off,28,17,0.607143,0.2335914064231994
2024,7,LA,def,33,17,0.515152,-0.0282740577998938
2024,7,LA,off,23,12,0.521739,0.16751026724839746
2024,7,LAC,def,28,15,0.535714,0.17766149613141483
2024,7,LAC,off,28,14,0.5,0.060391047085951347
2024,7,LV,def,23,12,0.521739,0.16751026724839746
2024,7,LV,off,33,17,0.515152,-0.0282740577998938
2024,7,MIA,def,27,13,0.481481,0.023986947118494615
2024,7,MIA,off,31,17,0.548387,-0.3262627382646315
2024,7,MIN,def,25,14,0.56,0.03750189813086763
2024,7,MIN,off,24,8,0.333333,-0.023049595140037127
2024,7,NE,def,28,15,0.535714,0.057753588272524733
2024,7,NE,off,23,7,0.304348,-0.20297392661956584
2024,7,NO,def,29,20,0.689655,0.1654919718215563
2024,7,NO,off,25,12,0.48,-0.1900890862289816
2024,7,NYG,def,28,13,0.464286,0.19245039691824267
2024,7,NYG,off,23,10,0.434783,-0.2729942125329019
2024,7,NYJ,def,28,12,0.428571,-0.007119424760665944
2024,7,NYJ,off,26,11,0.423077,0.11184726300528453
2024,7,PHI,def,23,10,0.434783,-0.2729942125329019
2024,7,PHI,off,28,13,0.464286,0.19245039691824267
2024,7,PIT,def,26,11,0.423077,0.11184726300528453
2024,7,PIT,off,28,12,0.428571,-0.007119424760665944
2024,7,SEA,def,30,18,0.6,-0.24446357918786815
2024,7,SEA,off,26,13,0.5,0.13432164987450682
2024,7,SF,def,28,17,0.607143,0.2335914064231994
2024,7,SF,off,25,16,0.64,0.021564068195875735
2024,7,TB,def,27,14,0.518519,0.53437364915886
2024,7,TB,off,33,21,0.636364,0.24622245688012548
2024,7,TEN,def,25,13,0.52,0.20427793373470193
2024,7,TEN,off,26,11,0.423077,-0.1755299694374956
2024,7,WAS,def,18,11,0.611111,-0.029566584245508745
2024,7,WAS,off,29,18,0.62069,0.3094640547602341
2024,8,ARI,def,27,14,0.518519,0.003241000913678565
2024,8,ARI,off,28,15,0.535714,0.27461386115360903
2024,8,ATL,def,30,17,0.566667,0.08557768145304484
2024,8,ATL,off,27,12,0.444444,-0.07130732660880312
2024,8,BAL,def,29,14,0.482759,0.20118931152432323
2024,8,BAL,off,28,18,0.642857,0.25999340477782035
2024,8,BUF,def,24,11,0.458333,-0.21542373228900638
2024,8,BUF,off,32,19,0.59375,0.386364853449777
2024,8,CAR,def,30,17,0.566667,0.011230532832754155
2024,8,CAR,off,23,10,0.434783,-0.010435321990845969
2024,8,CHI,def,32,16,0.5,0.12300791539473721
2024,8,CHI,off,24,10,0.416667,-0.09495448437034308
2024,8,CIN,def,28,16,0.571429,0.21704252999812265
2024,8,CIN,off,24,10,0.416667,-0.4095018879888812
2024,8,CLE,def,28,18,0.642857,0.25999340477782035
2024,8,CLE,off,29,14,0.482759,0.20118931152432323
2024,8,DAL,def,27,18,0.666667,0.3067930193307499
2024,8,DAL,off,25,12,0.48,-0.08802914613042959
2024,8,DEN,def,23,10,0.434783,-0.010435321990845969
2024,8,DEN,off,30,17,0.566667,0.011230532832754155
2024,8,DET,def,34,21,0.617647,-0.2064209684219403
2024,8,DET,off,23,15,0.652174,0.34219719896993966
2024,8,GB,def,28,17,0.607143,0.2775922408036422
2024,8,GB,off,30,20,0.666667,0.29431402786867694
2024,8,HOU,def,26,10,0.384615,0.019310217659669712
2024,8,HOU,off,31,16,0.516129,0.13212970998739043
2024,8,IND,def,31,16,0.516129,0.13212970998739043
2024,8,IND,off,26,10,0.384615,0.019310217659669712
2024,8,JAX,def,30,20,0.666667,0.29431402786867694
2024,8,JAX,off,28,17,0.607143,0.2775922408036422
2024,8,KC,def,19,9,0.473684,-0.18940026075640498
2024,8,KC,off,26,13,0.5,-0.19832441991177172
2024,8,LA,def,24,13,0.541667,0.10040532471127032
2024,8,LA,off,30,14,0.466667,-0.1153596523256662
