season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side,start_own_yardline_avg,hidden_yards_per_drive,avg_start_yardline_100_off,turnover_drives
2025,1,PHI,8,2,2,2,1,307.0,65,3,76.75,20,,4,0.5,0.25,0.25,0.125,0.25,38.38,8.12,0.375,2.5,2.5,def,23.25,4.38,76.75,1.0
2025,1,PHI,8,3,1,3,0,302.0,68,3,72.38,24,,4,0.5,0.375,0.125,0.0,0.375,37.75,8.5,0.375,3.0,3.0,off,27.62,4.38,72.38,0.0
2025,1,PIT,10,4,2,2,0,394.0,68,4,69.6,34,,6,0.6,0.4,0.2,0.0,0.2,39.4,6.8,0.4,3.4,3.4,def,30.4,2.0,69.6,0.0
2025,1,PIT,10,3,2,4,0,271.0,63,2,67.6,27,,5,0.5,0.3,0.2,0.0,0.4,27.1,6.3,0.2,2.7,2.7,off,32.4,2.0,67.6,0.0
2025,1,SEA,10,2,1,2,2,384.0,83,5,74.8,17,,3,0.3,0.2,0.1,0.2,0.2,38.4,8.3,0.5,1.7,1.7,def,25.2,6.2,74.8,2.0
2025,1,SEA,10,1,2,5,2,230.0,60,3,68.6,13,,3,0.3,0.1,0.2,0.2,0.5,23.0,6.0,0.3,1.3,1.3,off,31.4,6.2,68.6,2.0
2025,1,SF,10,1,2,5,2,230.0,60,3,68.6,13,,3,0.3,0.1,0.2,0.2,0.5,23.0,6.0,0.3,1.3,1.3,def,31.4,-6.2,68.6,2.0
2025,1,SF,10,2,1,2,2,384.0,83,5,74.8,17,,3,0.3,0.2,0.1,0.2,0.2,38.4,8.3,0.5,1.7,1.7,off,25.2,-6.2,74.8,2.0
2025,1,TB,10,2,2,3,0,358.0,84,2,72.6,20,,4,0.4,0.2,0.2,0.0,0.3,35.8,8.4,0.2,2.0,2.0,def,27.4,5.4,72.6,0.0
2025,1,TB,10,3,1,4,0,260.0,64,1,67.2,24,,4,0.4,0.3,0.1,0.0,0.4,26.0,6.4,0.1,2.4,2.4,off,32.8,5.4,67.2,0.0
2025,1,TEN,13,2,2,3,3,317.0,84,3,66.77,20,,4,0.31,0.1538461538461538,0.1538461538461538,0.2307692307692307,0.2307692307692307,24.38,6.46,0.2307692307692307,1.5384615384615383,1.54,def,33.23,5.08,66.77,2.999999999999999
