season,team,side,drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,ppd_basic,ppd_points,yds_per_drive,plays_per_drive,redzone_drive_rate,start_yardline_100_avg
2024,MIA,off,245,0.30823571852983617,0.15171584950996717,0.15651986901986903,0.08413237089707679,0.22574166030048384,1.5315705536293773,1.5315705536293773,23.286380857704387,5.912179079090843,0.31973018811254106,60.57131564256177
2024,MIN,def,246,0.2658734919764332,0.16258784334764725,0.10328564862878589,0.15053798779288974,0.28519084854869164,1.4479718493198885,1.4479718493198885,24.43264026732164,6.215566500492971,0.30074779069877106,63.54662839883429
2024,MIN,off,269,0.3164756716356304,0.17338430976201874,0.14309136187361163,0.1078037507346073,0.22588288235863058,1.642964253954966,1.642964253954966,23.430070111919957,5.685272154364002,0.34981541840416974,62.03500566937745
2024,NE,def,250,0.30590059513525186,0.1821991875260861,0.12370140760916574,0.0550991671575354,0.2605935364540355,1.6464985355100998,1.6464985355100998,23.822978782685574,5.678955020525317,0.3667568102894091,58.77155824860705
2024,NE,off,216,0.2712727760715377,0.15329650999155642,0.11797626607998124,0.11358972984359982,0.3294822953104687,1.4270043681808386,1.4270043681808386,23.47185405753517,6.567108373222925,0.35157231829058455,63.21922510753781
2024,NO,def,245,0.31019393908667264,0.16741604704407473,0.14277789204259794,0.07176175900224342,0.23705946590894686,1.6002460054363168,1.6002460054363168,26.718150059283275,6.083327600888154,0.34794118319204825,63.44803087627482
2024,NO,off,234,0.28756305689696693,0.16976696410087413,0.1177960927960928,0.08775238602228222,0.3154140841857105,1.5417570270943972,1.5417570270943972,23.541851031513662,5.884700886387738,0.3049623242962343,61.079331596892146
2024,NYG,def,258,0.28109511090297834,0.16629108815868968,0.11480402274428864,0.062397342838064015,0.24890654404176532,1.5084496853436937,1.5084496853436937,23.304492741368993,5.371919381787802,0.3538209349787387,60.05017612625744
2024,NYG,off,219,0.27907785798652673,0.1688763764615158,0.11020148152501093,0.12724537674228076,0.33932010971484655,1.5127390798056433,1.5127390798056433,24.15758667287305,6.742984178703993,0.3188186641360016,64.29337666117851
2024,NYJ,def,233,0.33650917517699525,0.17373943818580498,0.1627697369911903,0.07584177164626991,0.2568303572628832,1.7044852782742057,1.7044852782742057,23.255933968953,6.181144211421028,0.3773637790506303,59.465070910442876
2024,NYJ,off,220,0.2834386346064547,0.187533372048943,0.0959052625575117,0.09506645315468844,0.2830977989715014,1.600449392015136,1.600449392015136,24.917673243711306,6.3593686734257675,0.3728636847581484,61.32206511769661
