season,week,team,drives,td_drives,fg_drives,punt_drives,to_drives,yds,plays,rz_drives,start_yardline_100_avg,ppd_basic_sum,ppd_true_sum,score_drives,score_rate,td_rate,fg_rate,turnover_rate,punt_rate,yds_per_drive,plays_per_drive,redzone_drive_rate,ppd_basic,ppd_points,side
2024,16,SF,13,2,5,2,0,381.0,81,4,65.84615384615384,29,,7,0.5384615384615384,0.15384615384615385,0.38461538461538464,0.0,0.15384615384615385,29.307692307692307,6.230769230769231,0.3076923076923077,2.230769230769231,2.230769230769231,def
2024,16,SF,14,2,1,4,1,374.0,85,7,54.785714285714285,17,,3,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.2857142857142857,26.714285714285715,6.071428571428571,0.5,1.2142857142857142,1.2142857142857142,off
2024,16,TB,18,2,4,5,0,317.0,81,4,55.0,26,,6,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.0,0.2777777777777778,17.61111111111111,4.5,0.2222222222222222,1.4444444444444444,1.4444444444444444,def
2024,16,TB,14,3,1,4,3,410.0,86,4,69.0,24,,4,0.2857142857142857,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.2857142857142857,29.285714285714285,6.142857142857143,0.2857142857142857,1.7142857142857142,1.7142857142857142,off
2024,16,TEN,17,5,1,4,1,458.0,84,6,61.125,38,,6,0.35294117647058826,0.29411764705882354,0.058823529411764705,0.058823529411764705,0.23529411764705882,26.941176470588236,4.9411764705882355,0.35294117647058826,2.235294117647059,2.235294117647059,def
2024,16,TEN,13,4,0,4,3,311.0,77,4,69.61538461538461,28,,4,0.3076923076923077,0.3076923076923077,0.0,0.23076923076923078,0.3076923076923077,23.923076923076923,5.923076923076923,0.3076923076923077,2.1538461538461537,2.1538461538461537,off
2024,16,WAS,19,3,4,4,3,338.0,93,6,54.63157894736842,33,,7,0.3684210526315789,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.21052631578947367,17.789473684210527,4.894736842105263,0.3157894736842105,1.736842105263158,1.736842105263158,def
2024,16,WAS,15,5,0,2,5,370.0,85,7,61.0,35,,5,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.13333333333333333,24.666666666666668,5.666666666666667,0.4666666666666667,2.3333333333333335,2.3333333333333335,off
2024,17,ARI,15,1,2,6,1,257.0,72,2,71.5,13,,3,0.2,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.4,17.133333333333333,4.8,0.13333333333333333,0.8666666666666667,0.8666666666666667,def
2024,17,ARI,11,1,1,4,2,396.0,93,5,73.0,10,,2,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.36363636363636365,36.0,8.454545454545455,0.45454545454545453,0.9090909090909091,0.9090909090909091,off
2024,17,ATL,15,4,1,3,1,412.0,101,8,54.142857142857146,31,,5,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.2,27.466666666666665,6.733333333333333,0.5333333333333333,2.066666666666667,2.066666666666667,def
2024,17,ATL,10,3,1,3,1,337.0,80,3,69.6,24,,4,0.4,0.3,0.1,0.1,0.3,33.7,8.0,0.3,2.4,2.4,off
2024,17,BAL,12,0,0,6,1,211.0,71,2,73.16666666666667,0,,0,0.0,0.0,0.0,0.08333333333333333,0.5,17.583333333333332,5.916666666666667,0.16666666666666666,0.0,0.0,def
2024,17,BAL,11,4,1,4,0,432.0,76,4,77.0909090909091,31,,5,0.45454545454545453,0.36363636363636365,0.09090909090909091,0.0,0.36363636363636365,39.27272727272727,6.909090909090909,0.36363636363636365,2.8181818181818183,2.8181818181818183,off
2024,17,BUF,11,2,0,3,3,283.0,76,3,67.0,14,,2,0.18181818181818182,0.18181818181818182,0.0,0.2727272727272727,0.2727272727272727,25.727272727272727,6.909090909090909,0.2727272727272727,1.2727272727272727,1.2727272727272727,def
2024,17,BUF,13,5,1,3,0,348.0,86,6,59.30769230769231,38,,6,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.0,0.23076923076923078,26.76923076923077,6.615384615384615,0.46153846153846156,2.923076923076923,2.923076923076923,off
2024,17,CAR,11,5,2,1,0,551.0,92,9,69.18181818181819,41,,7,0.6363636363636364,0.45454545454545453,0.18181818181818182,0.0,0.09090909090909091,50.09090909090909,8.363636363636363,0.8181818181818182,3.727272727272727,3.727272727272727,def
2024,17,CAR,12,3,0,6,0,204.0,67,2,68.91666666666667,21,,3,0.25,0.25,0.0,0.0,0.5,17.0,5.583333333333333,0.16666666666666666,1.75,1.75,off
2024,17,CHI,13,0,2,6,1,265.0,65,1,70.53846153846153,6,,2,0.15384615384615385,0.0,0.15384615384615385,0.07692307692307693,0.46153846153846156,20.384615384615383,5.0,0.07692307692307693,0.46153846153846156,0.46153846153846156,def
2024,17,CHI,13,0,1,7,1,179.0,74,1,69.38461538461539,3,,1,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.5384615384615384,13.76923076923077,5.6923076923076925,0.07692307692307693,0.23076923076923078,0.23076923076923078,off
2024,17,CIN,15,3,1,4,1,329.0,74,5,65.93333333333334,24,,4,0.26666666666666666,0.2,0.06666666666666667,0.06666666666666667,0.26666666666666666,21.933333333333334,4.933333333333334,0.3333333333333333,1.6,1.6,def
2024,17,CIN,19,4,1,1,1,499.0,107,13,46.05263157894737,31,,5,0.2631578947368421,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.05263157894736842,26.263157894736842,5.631578947368421,0.6842105263157895,1.631578947368421,1.631578947368421,off
2024,17,CLE,18,2,2,7,1,280.0,76,5,52.94444444444444,20,,4,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.3888888888888889,15.555555555555555,4.222222222222222,0.2777777777777778,1.1111111111111112,1.1111111111111112,def
2024,17,CLE,12,0,1,5,3,276.0,92,3,72.66666666666667,3,,1,0.08333333333333333,0.0,0.08333333333333333,0.25,0.4166666666666667,23.0,7.666666666666667,0.25,0.25,0.25,off
2024,17,DAL,17,4,2,3,0,376.0,82,10,46.64705882352941,34,,6,0.35294117647058826,0.23529411764705882,0.11764705882352941,0.0,0.17647058823529413,22.11764705882353,4.823529411764706,0.5882352941176471,2.0,2.0,def
2024,17,DAL,11,2,0,4,4,268.0,77,2,74.63636363636364,14,,2,0.18181818181818182,0.18181818181818182,0.0,0.36363636363636365,0.36363636363636365,24.363636363636363,7.0,0.18181818181818182,1.2727272727272727,1.2727272727272727,off
2024,17,DEN,19,4,1,1,1,499.0,107,13,46.05263157894737,31,,5,0.2631578947368421,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.05263157894736842,26.263157894736842,5.631578947368421,0.6842105263157895,1.631578947368421,1.631578947368421,def
2024,17,DEN,15,3,1,4,1,329.0,74,5,65.93333333333334,24,,4,0.26666666666666666,0.2,0.06666666666666667,0.06666666666666667,0.26666666666666666,21.933333333333334,4.933333333333334,0.3333333333333333,1.6,1.6,off
2024,17,DET,11,5,0,0,2,475.0,83,6,62.72727272727273,35,,5,0.45454545454545453,0.45454545454545453,0.0,0.18181818181818182,0.0,43.18181818181818,7.545454545454546,0.5454545454545454,3.1818181818181817,3.1818181818181817,def
2024,17,DET,11,5,2,0,0,441.0,84,7,56.36363636363637,41,,7,0.6363636363636364,0.45454545454545453,0.18181818181818182,0.0,0.0,40.09090909090909,7.636363636363637,0.6363636363636364,3.727272727272727,3.727272727272727,off
